AT,V,AP,RH
26.48,51.43,1006.76,74.3
26.91,61.5,1009.47,55.26
17.98,53.29,1018.29,83.46
9.33,36.3,1027.88,79.23
11.52,40.8,1024.31,73.49
13.08,39.28,1012.41,77.98
31.54,77.24,1007.83,62.98
23.16,57.69,1007.91,84.7
23.21,58.66,1012.24,65.31
24.72,77.54,1008.39,81.03
27.07,66.93,1017.32,55.38
26.77,68.08,1010.83,63.48
29.51,75.6,1017.92,50.61
13.3,37.9,997.41,91.51
14.87,38.28,1014.65,80.24
11.94,44.2,1017.97,82.93
21.42,43.79,1015.76,43.08
27.89,70.94,1007.54,49.18
12.14,44.85,1014.36,60.04
26.01,58.41,1013.56,70.84
12.26,39.96,1011.79,79.06
19.73,68.63,1012.41,74.12
27.24,77.17,1009.37,81.51
5.54,45.87,1008.69,95.91
23.63,58.62,1016.45,69.97
17.06,52.9,1019.76,80.9
9.77,39.04,1023.73,76.06
25.87,59.43,1008.34,65.83
23.93,64.05,1013.09,86.02
9.84,40.72,1022.21,77.79
24.24,70.32,1009.38,82.83
14.9,52.05,1015.11,77.33
19.39,51.43,1011.06,94.35
8.94,43.13,1014.82,76.66
33.15,68.51,1012.9,51.91
22.78,58.59,1012.84,65.55
27.53,70.32,1007.75,49.31
2.34,39.42,1028.47,69.68
14.39,42.77,1017.36,83.28
27.71,62.39,1006.43,68.21
23.36,65.18,1012.35,78.09
23.4,65.06,1014.32,67.38
26.4,48.41,1008.51,66.95
26.6,61.41,1012.35,54.42
26.54,69.34,1009.5,87.18
14.93,39.39,1014.31,80.68
24.73,69.94,1006.09,59.15
30.36,71.8,1010.9,63.27
12.88,38.53,1010.95,87.16
17.37,41.23,998.79,68.44
9.38,43.7,1015.45,90.47
19.78,54.42,1011.74,89.34
11.74,43.56,1015.14,70.72
11.47,25.36,1008.27,95.4
30.91,79.74,1006.92,56.32
30.21,79.74,1006.82,54.03
21.47,58.79,1017.0,76.97
9.3,38.18,1017.19,71.51
13.86,40.83,1008.76,82.4
9.53,38.18,1018.43,75.33
15.25,43.02,1012.04,41.43
19.62,58.79,1017.59,87.39
20.21,69.94,1009.33,83.96
16.88,39.99,1007.08,74.29
23.48,65.12,1015.82,60.83
28.97,64.44,1014.55,54.67
26.19,73.77,1001.31,91.87
24.54,58.66,1011.63,57.62
18.27,50.16,1011.07,95.91
18.28,60.1,1009.72,85.79
30.24,68.3,1016.21,48.25
9.29,39.04,1022.72,74.29
25.14,73.67,1006.94,88.51
26.11,62.44,1010.68,72.59
21.87,74.87,1009.28,85.4
30.42,67.69,1006.23,54.19
21.11,43.43,1010.1,62.62
23.59,43.77,1010.85,55.98
26.73,68.84,1010.75,66.83
22.58,52.3,1009.04,78.99
14.69,35.71,1015.78,57.34
8.95,38.56,1017.85,64.34
13.09,54.3,1017.61,82.38
21.96,51.43,1007.28,89.96
9.57,39.82,1013.12,89.15
6.92,41.26,1011.16,96.2
15.86,39.82,1013.12,77.37
19.29,67.71,1007.94,63.71
27.44,59.74,1010.99,56.42
28.13,68.12,1012.6,44.71
5.63,39.22,1013.35,77.67
9.16,41.03,1021.3,76.08
19.93,57.25,1010.6,89.34
26.07,71.37,1008.6,79.48
24.63,65.38,1010.43,40.68
18.32,42.28,1007.86,45.62
31.13,64.05,1011.51,61.27
15.55,39.63,1004.98,89.82
14.45,52.75,1023.97,63.59
15.43,39.16,1016.44,79.8
28.64,73.4,1011.48,52.84
33.41,77.95,1010.3,59.72
26.8,49.3,1003.86,62.75
13.92,41.16,1000.98,83.89
14.26,44.47,1028.81,72.19
9.71,42.44,1014.29,94.03
22.61,42.8,1014.24,69.71
13.52,40.83,1008.31,84.14
15.99,43.5,1021.34,73.22
32.69,72.86,1003.57,56.84
11.91,41.49,1019.69,96.39
14.12,42.99,1007.13,78.16
9.41,40.43,1025.68,79.49
27.54,75.6,1018.26,57.89
10.8,41.66,1013.79,81.96
